method,eval_set,accuracy,loss
simple_avg,first_step,0.82,0.8198472261428833
simple_avg,later_steps,0.696125,1.0964539051055908
simple_avg,all_seen,0.7209,1.0411330461502075
simple_avg_kd_T2,first_step,0.889,0.6971435546875
simple_avg_kd_T2,later_steps,0.671625,1.4777417182922363
simple_avg_kd_T2,all_seen,0.7151,1.32162344455719
simple_avg_factor_orth,first_step,0.712,0.9649016261100769
simple_avg_factor_orth,later_steps,0.76625,0.8055480718612671
simple_avg_factor_orth,all_seen,0.7554,0.8374185562133789
simple_avg_factor_orth_kd_T2,first_step,0.8045,0.6922670602798462
simple_avg_factor_orth_kd_T2,later_steps,0.663,1.2822141647338867
simple_avg_factor_orth_kd_T2,all_seen,0.6913,1.1642249822616577
rank_extension,first_step,0.008,8.103939056396484
rank_extension,later_steps,0.27075,5.946669101715088
rank_extension,all_seen,0.2182,6.378118515014648
rank_extension_kd_only_T2,first_step,0.5955,1.2200078964233398
rank_extension_kd_only_T2,later_steps,0.58675,1.3675733804702759
rank_extension_kd_only_T2,all_seen,0.5885,1.3380603790283203
rank_extension_orth_factor_lam_50,first_step,0.0225,7.068244934082031
rank_extension_orth_factor_lam_50,later_steps,0.41975,3.2804665565490723
rank_extension_orth_factor_lam_50,all_seen,0.3403,4.038021087646484
rank_extension_orth_factor_lam_50_kd_T2,first_step,0.717,0.9126142263412476
rank_extension_orth_factor_lam_50_kd_T2,later_steps,0.6665,1.201062798500061
rank_extension_orth_factor_lam_50_kd_T2,all_seen,0.6766,1.143373966217041
